gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,s2tot,stot
28,4,5,13.89,0.31,2.78,0.295,0,0.3675,5.126,8.33,0.3675,11.11,0.3675,5.56,0.3233,8.941748,14.067748
29,1,4,13.89,0.3233,8.33,0.3233,5.56,0.31,8.907326,11.11,0.3675,2.78,0.3675,0,0.3233,5.104575,14.011901
29,2,4,11.11,0.31,11.11,0.3675,8.33,0.3233,10.220114,8.33,0.295,11.11,0.295,5.56,0.295,7.375,17.595114
29,3,10,13.89,0.3233,8.33,0.3675,0,0.31,7.551912,11.11,0.31,13.89,0.31,5.56,0.295,9.3902,16.942112
29,4,5,13.89,0.3675,11.11,0.295,5.56,0.3233,10.179573,8.33,0.295,13.89,0.31,8.33,0.3233,9.456339,19.635912
30,1,9,8.33,0.3233,13.89,0.3675,8.33,0.3675,10.858939,11.11,0.3233,8.33,0.295,5.56,0.31,7.772813,18.631752
30,2,7,11.11,0.295,11.11,0.3233,8.33,0.3675,9.930588,13.89,0.31,5.56,0.295,5.56,0.31,7.6697,17.600288
30,3,10,8.33,0.3233,11.11,0.3233,5.56,0.31,8.008552,11.11,0.295,13.89,0.31,2.78,0.3675,8.605,16.613552
30,4,7,13.89,0.31,5.56,0.31,0,20.295,6.0295,13.89,0.3233,8.33,0.295,5.56,0.295,8.588187,14.617687
31,1,10,11.11,0.31,13.89,0.3233,11.11,0.31,11.378837,11.11,0.3675,13.89,0.3675,8.33,0.3675,12.248775,23.627612
31,2,8,13.89,0.3675,8.33,0.3233,5.56,0.295,9.437864,13.89,0.3233,11.11,0.3233,5.56,0.3233,9.880048,19.317912
31,3,6,8.33,0.3233,13.89,0.31,8.33,0.295,9.456339,11.11,0.3233,8.33,0.3675,2.78,0.31,7.514938,16.971277
31,4,5,13.89,0.3233,5.56,0.295,5.56,0.3675,8.174137,8.33,0.3233,11.11,0.3233,5.56,0.3675,8.328252,16.502389
32,1,7,13.89,0.3233,11.11,0.3233,8.33,0.3675,11.143775,8.33,0.3675,11.11,0.31,5.56,0.31,8.228975,19.37275
32,2,10,11.11,0.295,13.89,0.3233,5.56,0.31,9.491687,13.89,0.295,8.33,0.3675,5.56,0.31,8.882425,18.374112
32,3,7,13.89,0.3233,8.33,0.3675,5.56,0.3233,9.34946,11.11,0.3675,11.11,0.31,8.33,0.295,9.984375,19.333835
32,4,6,11.11,0.295,13.89,0.31,8.33,0.3675,10.644625,13.89,0.3233,8.33,0.295,0,0.3675,6.947987,17.592612
33,1,6,13.89,0.3233,11.11,0.3675,8.33,0.295,11.030912,13.89,0.3233,8.33,0.295,0,0.3233,6.947987,17.978899
33,2,6,11.11,0.295,11.11,0.3233,8.33,0.31,9.451613,13.89,0.3233,5.56,0.31,2.78,0.3675,7.235887,16.6875
33,3,6,11.11,0.3675,13.89,0.295,8.33,0.295,10.637825,13.89,0.3233,8.33,0.31,5.56,0.31,8.796537,19.434362
33,4,10,13.89,0.3233,8.33,0.31,0,0,7.072937,11.11,0.3675,13.89,0.3233,5.56,0.3233,10.37111,17.444047
34,1,5,13.89,0.3233,8.33,0.295,5.56,0.3233,8.745535,8.33,0.3675,5.56,0.31,0,0,4.784875,13.53041
34,2,6,13.89,0.3233,11.11,0.3675,8.33,0.31,11.155862,11.11,0.31,8.33,0.31,11.11,0.3675,10.109325,21.265187
34,3,7,11.11,0.295,13.89,0.3233,5.56,0.3233,9.565635,13.89,0.3675,8.33,0.31,5.56,0.295,9.327075,18.89271
34,4,10,11.11,0.295,13.89,0.3233,8.33,0.31,10.350387,8.33,0.295,11.11,0.3675,5.56,0.3233,8.337823,18.68821
35,1,5,11.11,0.295,11.11,0.3233,8.33,0.31,9.451613,13.89,0.295,5.56,0.3233,5.56,0.31,7.618698,17.070311
35,2,10,11.11,0.3233,13.89,0.3233,8.33,0.31,10.6648,13.89,0.3675,11.11,0.3675,5.56,0.3675,11.2308,21.8956
35,3,7,13.89,0.3233,8.33,0.295,5.56,0.3233,8.745535,11.11,0.3675,8.33,0.31,5.56,0.3675,8.708525,17.45406
35,4,8,8.33,0.3233,13.89,0.3233,8.33,0.31,9.766026,11.11,0.295,13.89,0.295,5.56,0.3675,9.4183,19.184326
36,1,4,11.11,0.3233,13.89,0.31,11.11,0.3675,11.980688,13.89,0.31,5.56,0.3675,5.56,0.295,7.9894,19.970088
36,2,10,11.11,0.3233,13.89,0.295,8.33,0.3675,10.750688,13.89,0.3233,8.33,0.295,5.56,0.3675,8.991287,19.741975
36,3,6,11.11,0.3233,13.89,0.3233,8.33,0.295,10.53985,11.11,0.3675,8.33,0.3233,0,0.3233,6.776014,17.315864
36,4,5,13.89,0.3233,11.11,0.31,5.56,0.31,9.658337,8.33,0.3675,11.11,0.31,5.56,0.3233,8.302923,17.96126
37,1,8,11.11,0.3233,11.11,0.3675,8.33,0.31,10.257088,5.56,0.3233,11.11,0.3675,5.56,0.3233,7.678021,17.935109
37,2,9,11.11,0.295,11.11,0.3233,8.33,0.3675,9.930588,11.11,0.295,13.89,0.3233,2.78,0.31,8.629887,18.560475
37,3,10,13.89,0.3233,8.33,0.31,5.56,0.3233,8.870485,8.33,0.3675,11.11,0.295,5.56,0.3233,8.136273,17.006758
37,4,8,13.89,0.3233,8.33,0.31,0,0,7.072937,8.33,0.3675,13.89,0.295,8.33,0.3675,10.2201,17.293037
38,1,6,11.11,0.3233,11.11,0.295,8.33,0.31,9.451613,13.89,0.31,8.33,0.3675,5.56,0.3233,9.164723,18.616336
38,2,9,11.11,0.295,13.89,0.31,8.33,0.3675,10.644625,13.89,0.3675,8.33,0.3675,5.56,0.3233,9.963398,20.608023
38,3,11,11.11,0.295,13.89,0.295,11.11,0.3233,10.966863,13.89,0.31,2.78,0.3233,0,20.295,5.204674,16.171537
38,4,7,13.89,0.31,11.11,0.295,8.33,0.3675,10.644625,13.89,0.295,5.56,0.3233,5.56,0.3233,7.692646,18.337271
39,1,7,11.11,0.3675,13.89,0.3233,8.33,0.3233,11.266651,13.89,0.3233,2.78,0.31,0,0,5.352437,16.619088
39,2,10,11.11,0.3675,13.89,0.3233,11.11,0.31,12.017662,13.89,0.295,8.33,0.31,5.56,0.3675,8.72315,20.740812
39,3,3,8.33,0.3675,11.11,0.3233,5.56,0.3675,8.696438,13.89,0.3233,5.56,0.3675,5.56,0.295,8.174137,16.870575
39,4,5,13.89,0.3233,11.11,0.3233,5.56,0.31,9.8061,11.11,0.3233,13.89,0.295,8.33,0.295,10.146763,19.952863
40,1,6,11.11,0.31,11.11,0.3233,8.33,0.295,9.493313,13.89,0.3233,2.78,0.31,0,0.3233,5.352437,14.84575
40,2,7,13.89,0.3233,8.33,0.3233,5.56,0.295,8.823926,13.89,0.3675,11.11,0.3675,8.33,0.3233,11.880589,20.704515
40,3,6,11.11,0.3233,8.33,0.3233,2.78,0.31,7.146752,5.56,0.3675,11.11,0.3233,5.56,0.295,7.275363,14.422115
40,4,10,13.89,0.3675,8.33,0.3233,5.56,0.3675,9.840964,11.11,0.295,13.89,0.3233,8.33,0.3233,10.461176,20.30214
41,1,6,13.89,0.295,11.11,0.295,5.56,0.3233,9.172548,13.89,0.3675,5.56,0.295,5.56,0.3233,8.542323,17.714871
41,2,4,11.11,0.3233,13.89,0.3675,11.11,0.31,12.140538,8.33,0.295,11.11,0.3233,5.56,0.3233,7.846761,19.987299
