gameNum,player,points,won,s1v1,s1r1,s1tile1,s1v2,s1r2,s1tile2,s1v3,s1r3,s1tile3,s1tot,s2v1,s2r1,s2tile1,s2v2,s2r2,s2tile2,s2v3,s2r3,s2tile3,s2tot,stot
24,3,9,0,13.89,0.3675,5.104575,8.33,0.3233,2.693089,5.56,0.3233,1.797548,9.595212,11.11,0.295,3.27745,13.89,0.3675,5.104575,8.33,0.31,2.5823,10.964325,20.559537
24,4,6,0,8.33,0.3233,2.693089,11.11,0.295,3.27745,5.56,0.31,1.7236,7.694139,11.11,0.3675,4.082925,11.11,0.295,3.27745,8.33,0.3233,2.693089,10.053464,17.747603
25,1,7,0,11.11,0.295,3.27745,13.89,0.3675,5.104575,8.33,0.3233,2.693089,11.075114,8.33,0.31,2.5823,11.11,0.3233,3.591863,2.78,0.295,0.8201,6.994263,18.069377
25,2,7,0,13.89,0.3675,5.104575,8.33,0.31,2.5823,5.56,0.3675,2.0433,9.730175,13.89,0.295,4.09755,8.33,0.3233,2.693089,0,0,0,6.790639,16.520814
25,3,10,1,13.89,0.31,4.3059,11.11,0.295,3.27745,8.33,0.3233,2.693089,10.276439,13.89,0.3675,5.104575,5.56,0.3675,2.0433,0,0,0,7.147875,17.424314
25,4,7,0,11.11,0.3233,3.591863,11.11,0.3233,3.591863,8.33,0.3233,2.693089,9.876815,11.11,0.295,3.27745,13.89,0.31,4.3059,5.56,0.3233,1.797548,9.380898,19.257713
26,1,10,1,13.89,0.3233,4.490637,11.11,0.3233,3.591863,5.56,0.295,1.6402,9.7227,13.89,0.3675,5.104575,8.33,0.3233,2.693089,5.56,0.31,1.7236,9.521264,19.243964
26,2,7,0,11.11,0.31,3.4441,13.89,0.3233,4.490637,11.11,0.3675,4.082925,12.017662,11.11,0.295,3.27745,13.89,0.3675,5.104575,8.33,0.295,2.45735,10.839375,22.857037
26,3,3,0,11.11,0.3233,3.591863,8.33,0.295,2.45735,5.56,0.3675,2.0433,8.092513,13.89,0.3233,4.490637,5.56,0.3233,1.797548,2.78,0.3233,0.898774,7.186959,15.279472
26,4,4,0,11.11,0.31,3.4441,13.89,0.31,4.3059,8.33,0.3675,3.061275,10.811275,13.89,0.3233,4.490637,2.78,0.295,0.8201,0,0.31,0,5.310737,16.122012
27,1,7,0,13.89,0.3233,4.490637,11.11,0.3675,4.082925,5.56,0.3233,1.797548,10.37111,8.33,0.31,2.5823,11.11,0.3675,4.082925,5.56,0.3233,1.797548,8.462773,18.833883
27,2,7,0,13.89,0.3233,4.490637,5.56,0.3675,2.0433,5.56,0.295,1.6402,8.174137,11.11,0.31,3.4441,13.89,0.295,4.09755,8.33,0.3233,2.693089,10.234739,18.408876
27,3,10,1,8.33,0.31,2.5823,13.89,0.3675,5.104575,8.33,0.31,2.5823,10.269175,11.11,0.3233,3.591863,13.89,0.3233,4.490637,5.56,0.3233,1.797548,9.880048,20.149223
27,4,4,0,11.11,0.295,3.27745,8.33,0.31,2.5823,0,0.31,0,5.85975,13.89,0.295,4.09755,8.33,0.3675,3.061275,5.56,0.295,1.6402,8.799025,14.658775
28,1,6,0,11.11,0.3233,3.591863,13.89,0.3675,5.104575,8.33,0.31,2.5823,11.278738,11.11,0.295,3.27745,8.33,0.3233,2.693089,0,20.295,0,5.970539,17.249277
28,2,10,1,11.11,0.31,3.4441,13.89,0.3233,4.490637,11.11,0.295,3.27745,11.212187,13.89,0.3675,5.104575,8.33,0.295,2.45735,5.56,0.3233,1.797548,9.359473,20.57166
28,3,5,0,11.11,0.31,3.4441,13.89,0.31,4.3059,8.33,0.3233,2.693089,10.443089,13.89,0.3233,4.490637,5.56,0.3675,2.0433,2.78,0.295,0.8201,7.354037,17.797126
28,4,5,0,13.89,0.31,4.3059,2.78,0.295,0.8201,0,0.3675,0,5.126,8.33,0.3675,3.061275,11.11,0.3675,4.082925,5.56,0.3233,1.797548,8.941748,14.067748
29,1,4,0,13.89,0.3233,4.490637,8.33,0.3233,2.693089,5.56,0.31,1.7236,8.907326,11.11,0.3675,4.082925,2.78,0.3675,1.02165,0,0.3233,0,5.104575,14.011901
29,2,4,0,11.11,0.31,3.4441,11.11,0.3675,4.082925,8.33,0.3233,2.693089,10.220114,8.33,0.295,2.45735,11.11,0.295,3.27745,5.56,0.295,1.6402,7.375,17.595114
29,3,10,1,13.89,0.3233,4.490637,8.33,0.3675,3.061275,0,0.31,0,7.551912,11.11,0.31,3.4441,13.89,0.31,4.3059,5.56,0.295,1.6402,9.3902,16.942112
29,4,5,0,13.89,0.3675,5.104575,11.11,0.295,3.27745,5.56,0.3233,1.797548,10.179573,8.33,0.295,2.45735,13.89,0.31,4.3059,8.33,0.3233,2.693089,9.456339,19.635912
30,1,9,0,8.33,0.3233,2.693089,13.89,0.3675,5.104575,8.33,0.3675,3.061275,10.858939,11.11,0.3233,3.591863,8.33,0.295,2.45735,5.56,0.31,1.7236,7.772813,18.631752
30,2,7,0,11.11,0.295,3.27745,11.11,0.3233,3.591863,8.33,0.3675,3.061275,9.930588,13.89,0.31,4.3059,5.56,0.295,1.6402,5.56,0.31,1.7236,7.6697,17.600288
30,3,10,1,8.33,0.3233,2.693089,11.11,0.3233,3.591863,5.56,0.31,1.7236,8.008552,11.11,0.295,3.27745,13.89,0.31,4.3059,2.78,0.3675,1.02165,8.605,16.613552
30,4,7,0,13.89,0.31,4.3059,5.56,0.31,1.7236,0,20.295,0,6.0295,13.89,0.3233,4.490637,8.33,0.295,2.45735,5.56,0.295,1.6402,8.588187,14.617687
31,1,10,1,11.11,0.31,3.4441,13.89,0.3233,4.490637,11.11,0.31,3.4441,11.378837,11.11,0.3675,4.082925,13.89,0.3675,5.104575,8.33,0.3675,3.061275,12.248775,23.627612
